# Copyright (C) 1991-2006 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 6.0 Build 202 06/20/2006 Service Pack 1 SJ Full Version
# File: C:\DE1\DE1_TOP\DE1_TOP.csv
# Generated on: Wed Sep 27 14:39:29 2006

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

From,To,Assignment Name,Value,Enabled
,SWITCH[0],Location,PIN_L22,Yes
,SWITCH[1],Location,PIN_L21,Yes
,SWITCH[2],Location,PIN_M22,Yes
,SWITCH[3],Location,PIN_V12,Yes
,SWITCH[4],Location,PIN_W12,Yes
,SWITCH[5],Location,PIN_U12,Yes
,SWITCH[6],Location,PIN_U11,Yes
,SWITCH[7],Location,PIN_M2,Yes
,SWITCH[8],Location,PIN_M1,Yes
,SWITCH[9],Location,PIN_L2,Yes
,SWITCH[0],I/O Standard,LVTTL,Yes
,SWITCH[1],I/O Standard,LVTTL,Yes
,SWITCH[2],I/O Standard,LVTTL,Yes
,SWITCH[3],I/O Standard,LVTTL,Yes
,SWITCH[4],I/O Standard,LVTTL,Yes
,SWITCH[5],I/O Standard,LVTTL,Yes
,SWITCH[6],I/O Standard,LVTTL,Yes
,SWITCH[7],I/O Standard,LVTTL,Yes
,SWITCH[8],I/O Standard,LVTTL,Yes
,SWITCH[9],I/O Standard,LVTTL,Yes
,BUTTON_N[0],Location,PIN_R22,Yes
,BUTTON_N[1],Location,PIN_R21,Yes
,BUTTON_N[2],Location,PIN_T22,Yes
,BUTTON_N[3],Location,PIN_T21,Yes
,LED[0],Location,PIN_R20,Yes
,LED[1],Location,PIN_R19,Yes
,LED[2],Location,PIN_U19,Yes
,LED[3],Location,PIN_Y19,Yes
,LED[4],Location,PIN_T18,Yes
,LED[5],Location,PIN_V19,Yes
,LED[6],Location,PIN_Y18,Yes
,LED[7],Location,PIN_U18,Yes
,LED[8],Location,PIN_R18,Yes
,LED[9],Location,PIN_R17,Yes
,BUTTON_N[0],I/O Standard,LVTTL,Yes
,BUTTON_N[1],I/O Standard,LVTTL,Yes
,BUTTON_N[2],I/O Standard,LVTTL,Yes
,BUTTON_N[3],I/O Standard,LVTTL,Yes
,LED[0],I/O Standard,LVTTL,Yes
,LED[1],I/O Standard,LVTTL,Yes
,LED[2],I/O Standard,LVTTL,Yes
,LED[3],I/O Standard,LVTTL,Yes
,LED[4],I/O Standard,LVTTL,Yes
,LED[5],I/O Standard,LVTTL,Yes
,LED[6],I/O Standard,LVTTL,Yes
,LED[7],I/O Standard,LVTTL,Yes
,LED[8],I/O Standard,LVTTL,Yes
,LED[9],I/O Standard,LVTTL,Yes
,CLK50MHZ,Location,PIN_L1,Yes
,CLK50MHZ,I/O Standard,LVTTL,Yes
,CLK27MHZ,Location,PIN_D12,Yes
,CLK27MHZ,I/O Standard,LVTTL,Yes
,PS2_KBCLK,Location,PIN_H15,Yes
,PS2_KBDAT,Location,PIN_J14,Yes
,PS2_KBCLK,I/O Standard,LVTTL,Yes
,PS2_KBDAT,I/O Standard,LVTTL,Yes
,VGA_RED[0],Location,PIN_D9,Yes
,VGA_RED[1],Location,PIN_C9,Yes
,VGA_RED[2],Location,PIN_A7,Yes
,VGA_RED[3],Location,PIN_B7,Yes
,VGA_GREEN[0],Location,PIN_B8,Yes
,VGA_GREEN[1],Location,PIN_C10,Yes
,VGA_GREEN[2],Location,PIN_B9,Yes
,VGA_GREEN[3],Location,PIN_A8,Yes
,VGA_BLUE[0],Location,PIN_A9,Yes
,VGA_BLUE[1],Location,PIN_D11,Yes
,VGA_BLUE[2],Location,PIN_A10,Yes
,VGA_BLUE[3],Location,PIN_B10,Yes
,VGA_HS,Location,PIN_A11,Yes
,VGA_VS,Location,PIN_B11,Yes
,VGA_RED[0],I/O Standard,LVTTL,Yes
,VGA_RED[1],I/O Standard,LVTTL,Yes
,VGA_RED[2],I/O Standard,LVTTL,Yes
,VGA_RED[3],I/O Standard,LVTTL,Yes
,VGA_GREEN[0],I/O Standard,LVTTL,Yes
