# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: D:\Altera DE2-35\DE2_v2.0.4_SystemCD\DE2_demonstrations\DE2_Default\DE2_Default.csv
# Generated on: Mon Nov 26 19:49:00 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair
TD_RESET,Output,PIN_C4,3,B3_N1,PIN_C4,3.3-V LVTTL,,24mA,
SWITCH[0],Unknown,PIN_N25,5,B5_N1,,,,
SWITCH[1],Unknown,PIN_N26,5,B5_N1,,,,
SWITCH[2],Unknown,PIN_P25,6,B6_N0,,,,
SWITCH[3],Unknown,PIN_AE14,7,B7_N1,,,,
SWITCH[4],Unknown,PIN_AF14,7,B7_N1,,,,
SWITCH[5],Unknown,PIN_AD13,8,B8_N0,,,,
SWITCH[6],Unknown,PIN_AC13,8,B8_N0,,,,
SWITCH[7],Unknown,PIN_C13,3,B3_N0,,,,
SWITCH[8],Unknown,PIN_B13,4,B4_N1,,,,
SWITCH[9],Unknown,PIN_A13,4,B4_N1,,,,
#SWITCH[10],Unknown,PIN_N1,2,B2_N1,,,,
#SWITCH[11],Unknown,PIN_P1,1,B1_N0,,,,
#SWITCH[12],Unknown,PIN_P2,1,B1_N0,,,,
#SWITCH[13],Unknown,PIN_T7,1,B1_N0,,,,
#SWITCH[14],Unknown,PIN_U3,1,B1_N0,,,,
#SWITCH[15],Unknown,PIN_U4,1,B1_N0,,,,
#SWITCH[16],Unknown,PIN_V1,1,B1_N0,,,,
#SWITCH[17],Unknown,PIN_V2,1,B1_N0,,,,
BUTTON_N[0],Unknown,PIN_G26,5,B5_N0,,,,
BUTTON_N[1],Unknown,PIN_N23,5,B5_N1,,,,
BUTTON_N[2],Unknown,PIN_P23,6,B6_N0,,,,
BUTTON_N[3],Unknown,PIN_W26,6,B6_N1,,,,
LED[0],Unknown,PIN_AE22,7,B7_N0,,,,
LED[1],Unknown,PIN_AF22,7,B7_N0,,,,
LED[2],Unknown,PIN_W19,7,B7_N0,,,,
LED[3],Unknown,PIN_V18,7,B7_N0,,,,
LED[4],Unknown,PIN_U18,7,B7_N0,,,,
LED[5],Unknown,PIN_U17,7,B7_N0,,,,
LED[6],Unknown,PIN_AA20,7,B7_N0,,,,
LED[7],Unknown,PIN_Y18,7,B7_N0,,,,
LED[8],Unknown,PIN_Y12,8,B8_N0,,,,
LED[9],Unknown,PIN_AE23,7,B7_N0,,,,
#LEDR[0],Unknown,PIN_AE23,7,B7_N0,,,,
#LEDR[1],Unknown,PIN_AF23,7,B7_N0,,,,
#LEDR[2],Unknown,PIN_AB21,7,B7_N0,,,,
#LEDR[3],Unknown,PIN_AC22,7,B7_N0,,,,
#LEDR[4],Unknown,PIN_AD22,7,B7_N0,,,,
#LEDR[5],Unknown,PIN_AD23,7,B7_N0,,,,
#LEDR[6],Unknown,PIN_AD21,7,B7_N0,,,,
#LEDR[7],Unknown,PIN_AC21,7,B7_N0,,,,
#LEDR[8],Unknown,PIN_AA14,7,B7_N1,,,,
#LEDR[9],Unknown,PIN_Y13,7,B7_N1,,,,
#LEDR[10],Unknown,PIN_AA13,7,B7_N1,,,,
#LEDR[11],Unknown,PIN_AC14,7,B7_N1,,,,
#LEDR[12],Unknown,PIN_AD15,7,B7_N1,,,,
#LEDR[13],Unknown,PIN_AE15,7,B7_N1,,,,
#LEDR[14],Unknown,PIN_AF13,8,B8_N0,,,,
#LEDR[15],Unknown,PIN_AE13,8,B8_N0,,,,
#LEDR[16],Unknown,PIN_AE12,8,B8_N0,,,,
#LEDR[17],Unknown,PIN_AD12,8,B8_N0,,,,
CLK27MHZ,Unknown,PIN_D13,3,B3_N0,,,,
CLK50MHZ,Unknown,PIN_N2,2,B2_N1,,,,
PS2_KBCLK,Unknown,PIN_D26,5,B5_N0,,,,
PS2_KBDAT,Unknown,PIN_C24,5,B5_N0,,,,
UART_RXD,Unknown,PIN_C25,5,B5_N0,,,,
UART_TXD,Unknown,PIN_B25,5,B5_N0,,,,
VGA_DAC_RED[0],Unknown,PIN_C8,3,B3_N1,,,,
VGA_DAC_RED[1],Unknown,PIN_F10,3,B3_N1,,,,
VGA_DAC_RED[2],Unknown,PIN_G10,3,B3_N1,,,,
VGA_DAC_RED[3],Unknown,PIN_D9,3,B3_N1,,,,
VGA_DAC_RED[4],Unknown,PIN_C9,3,B3_N1,,,,
VGA_DAC_RED[5],Unknown,PIN_A8,3,B3_N0,,,,
